"","index","country","organisation","unit","subgroup","date","hhsize","hhchildren","partner"
"85",107,"Ethiopia","ChildFund","Camp","Internally_displaced_HH",2022-11-28,4,1,"Ethiopia ChildFund"
"86",108,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-29,4,2,"Ethiopia ChildFund"
"87",109,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-29,2,1,"Ethiopia ChildFund"
"88",110,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-29,2,1,"Ethiopia ChildFund"
"89",112,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,5,3,"Ethiopia ChildFund"
"90",113,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,3,1,"Ethiopia ChildFund"
"91",114,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,2,1,"Ethiopia ChildFund"
"92",115,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,4,2,"Ethiopia ChildFund"
"93",116,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,4,2,"Ethiopia ChildFund"
"94",117,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,2,1,"Ethiopia ChildFund"
"95",118,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,5,4,"Ethiopia ChildFund"
"96",119,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,4,1,"Ethiopia ChildFund"
"97",120,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,4,2,"Ethiopia ChildFund"
"98",121,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,3,2,"Ethiopia ChildFund"
"99",122,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,2,1,"Ethiopia ChildFund"
"100",123,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,4,3,"Ethiopia ChildFund"
"101",124,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,2,1,"Ethiopia ChildFund"
"102",125,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,2,1,"Ethiopia ChildFund"
"103",126,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,6,4,"Ethiopia ChildFund"
"104",127,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,9,4,"Burkina ChildFund"
"105",128,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,5,3,"Burkina ChildFund"
"106",129,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,7,4,"Burkina ChildFund"
"107",130,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,4,2,"Burkina ChildFund"
"108",131,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,4,2,"Burkina ChildFund"
"109",132,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,3,1,"Burkina ChildFund"
"110",133,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,5,3,"Burkina ChildFund"
"111",134,"Burkina","ChildFund","Village","Host_community_HH",2022-11-28,5,2,"Burkina ChildFund"
"112",135,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,3,1,"Burkina ChildFund"
"113",136,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,6,3,"Burkina ChildFund"
"114",137,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,3,1,"Burkina ChildFund"
"115",138,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,4,2,"Burkina ChildFund"
"116",139,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,7,5,"Colombia SOS"
"117",140,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,6,3,"Colombia SOS"
"118",141,"Burkina","ChildFund","Village","Host_community_HH",2022-11-28,3,2,"Burkina ChildFund"
"119",142,"Burkina","ChildFund","Village","Host_community_HH",2022-11-28,2,1,"Burkina ChildFund"
"120",143,"Burkina","ChildFund","Village","Host_community_HH",2022-11-28,3,2,"Burkina ChildFund"
"121",144,"Burkina","ChildFund","Village","Host_community_HH",2022-11-28,3,1,"Burkina ChildFund"
"122",146,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,5,2,"Burkina ChildFund"
"123",147,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,4,2,"Burkina ChildFund"
"124",148,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,7,3,"Burkina ChildFund"
"125",149,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,4,2,"Burkina ChildFund"
"126",151,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,5,3,"Burkina ChildFund"
"127",152,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,2,1,"Burkina ChildFund"
"128",153,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,4,1,"Burkina ChildFund"
"129",154,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,4,2,"Colombia SOS"
"130",155,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,4,2,"Colombia SOS"
"131",156,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,7,5,"Burkina ChildFund"
"132",157,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,8,6,"Burkina ChildFund"
"133",158,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,8,6,"Burkina ChildFund"
"134",159,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,15,11,"Burkina ChildFund"
"135",160,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,6,2,"Colombia SOS"
"136",161,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,10,8,"Burkina ChildFund"
"137",162,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,5,3,"Colombia SOS"
"138",163,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,4,1,"Burkina ChildFund"
"139",164,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,6,3,"Burkina ChildFund"
"140",165,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,6,2,"Burkina ChildFund"
"141",166,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,8,4,"Burkina ChildFund"
"142",167,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,6,3,"Burkina ChildFund"
"143",168,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,7,2,"Burkina ChildFund"
"144",169,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,7,3,"Burkina ChildFund"
"145",170,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,5,3,"Burkina ChildFund"
"146",171,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,5,3,"Burkina ChildFund"
"147",172,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,4,2,"Burkina ChildFund"
"148",173,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,4,2,"Burkina ChildFund"
"149",174,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,3,1,"Burkina ChildFund"
"150",175,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,11,4,"Burkina ChildFund"
"151",176,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,6,3,"Burkina ChildFund"
"152",177,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,5,1,"Burkina ChildFund"
"153",178,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,7,3,"Burkina ChildFund"
"154",179,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,10,4,"Burkina ChildFund"
"155",180,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,6,2,"Burkina ChildFund"
"156",181,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,5,3,"Burkina ChildFund"
"157",182,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,4,2,"Burkina ChildFund"
"158",183,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,4,2,"Burkina ChildFund"
"159",184,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,7,3,"Burkina ChildFund"
"160",185,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,5,3,"Burkina ChildFund"
"161",186,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,6,4,"Burkina ChildFund"
"162",187,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,5,3,"Burkina ChildFund"
"163",188,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-28,5,3,"Burkina ChildFund"
"164",189,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-30,7,4,"Burkina ChildFund"
"165",190,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-30,4,2,"Burkina ChildFund"
"166",191,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-28,4,2,"Burkina ChildFund"
"167",192,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-28,3,1,"Burkina ChildFund"
"168",193,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-28,4,2,"Burkina ChildFund"
"169",194,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-28,2,1,"Burkina ChildFund"
"170",195,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-28,4,2,"Burkina ChildFund"
"171",196,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,4,2,"Burkina ChildFund"
"172",197,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,4,2,"Burkina ChildFund"
"173",198,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,5,3,"Burkina ChildFund"
"174",199,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,6,2,"Burkina ChildFund"
"175",200,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,4,2,"Burkina ChildFund"
"176",201,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,3,2,"Burkina ChildFund"
"177",202,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,3,1,"Burkina ChildFund"
"178",203,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,4,2,"Burkina ChildFund"
"179",204,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,8,4,"Burkina ChildFund"
"180",205,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,3,2,"Burkina ChildFund"
"181",206,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,3,1,"Burkina ChildFund"
"182",207,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,4,2,"Burkina ChildFund"
"183",208,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-29,5,4,"Burkina ChildFund"
"184",209,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,7,3,"Burkina ChildFund"
"185",210,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,4,1,"Burkina ChildFund"
"186",211,"Burkina","ChildFund","Village","Host_community_HH",2022-11-29,3,1,"Burkina ChildFund"
"187",212,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,7,3,"Burkina ChildFund"
"188",213,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,4,1,"Burkina ChildFund"
"189",214,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,6,2,"Burkina ChildFund"
"190",215,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,5,2,"Burkina ChildFund"
"191",216,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,3,1,"Burkina ChildFund"
"192",218,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,8,2,"Burkina ChildFund"
"193",219,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,3,1,"Burkina ChildFund"
"194",221,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,5,2,"Burkina ChildFund"
"195",222,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,4,1,"Burkina ChildFund"
"196",223,"Burkina","ChildFund","Village","Host_community_HH",2022-11-28,3,2,"Burkina ChildFund"
"197",224,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,9,7,"Burkina ChildFund"
"198",225,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,6,4,"Burkina ChildFund"
"199",226,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,8,6,"Burkina ChildFund"
"200",227,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,6,5,"Burkina ChildFund"
"201",228,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,4,2,"Ethiopia ChildFund"
"202",229,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,5,1,"Ethiopia ChildFund"
"203",230,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,3,1,"Ethiopia ChildFund"
"204",231,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,5,2,"Ethiopia ChildFund"
"205",232,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,5,3,"Ethiopia ChildFund"
"206",233,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,3,1,"Ethiopia ChildFund"
"207",234,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,4,3,"Ethiopia ChildFund"
"208",235,"Ethiopia","ChildFund","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,5,2,"Ethiopia ChildFund"
"209",236,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-30,4,1,"Ethiopia ChildFund"
"210",237,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,4,3,"Colombia SOS"
"211",238,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,4,1,"Colombia SOS"
"212",239,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-12-01,4,1,"Colombia SOS"
"213",240,"Colombia","SOS","Village","Internally_displaced_HH",2022-11-29,3,1,"Colombia SOS"
"214",241,"Colombia","SOS","Village","Internally_displaced_HH",2022-11-29,2,1,"Colombia SOS"
"215",242,"Colombia","SOS","Village","Internally_displaced_HH",2022-11-29,2,1,"Colombia SOS"
"216",243,"Colombia","SOS","Village","Internally_displaced_HH",2022-11-29,2,1,"Colombia SOS"
"217",244,"Colombia","SOS","Village","Internally_displaced_HH",2022-11-29,2,1,"Colombia SOS"
"218",245,"Colombia","SOS","Village","Internally_displaced_HH",2022-11-30,2,1,"Colombia SOS"
"219",246,"Colombia","SOS","Village","Internally_displaced_HH",2022-11-30,2,1,"Colombia SOS"
"220",247,"Colombia","SOS","Village","Internally_displaced_HH",2022-11-30,2,1,"Colombia SOS"
"221",248,"Colombia","SOS","Village","Internally_displaced_HH",2022-11-30,3,2,"Colombia SOS"
"222",249,"Colombia","SOS","Village","Internally_displaced_HH",2022-11-30,2,1,"Colombia SOS"
"223",250,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,5,2,"Colombia SOS"
"224",251,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-29,3,1,"Colombia SOS"
"225",252,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,3,1,"Colombia SOS"
"226",253,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,3,2,"Colombia SOS"
"227",254,"Colombia","SOS","Neighbourhood/_quarter","Internally_displaced_HH",2022-11-30,3,2,"Colombia SOS"
"228",255,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-29,7,2,"Ethiopia ChildFund"
"229",256,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-29,3,1,"Ethiopia ChildFund"
"230",257,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-30,4,1,"Ethiopia ChildFund"
"231",258,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-30,4,1,"Ethiopia ChildFund"
"232",259,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-30,4,1,"Ethiopia ChildFund"
"233",260,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-30,5,2,"Ethiopia ChildFund"
"234",261,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-30,3,1,"Ethiopia ChildFund"
"235",262,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-30,5,1,"Ethiopia ChildFund"
"236",263,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-30,4,1,"Ethiopia ChildFund"
"237",264,"Ethiopia","ChildFund","Village","Host_community_HH",2022-11-30,3,1,"Ethiopia ChildFund"
"238",265,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-28,5,2,"Burkina ChildFund"
"239",266,"Burkina","ChildFund","Neighbourhood/_quarter","Host_community_HH",2022-11-28,4,2,"Burkina ChildFund"
"240",267,"Burkina","ChildFund","Village","Host_community_HH",2022-11-30,5,1,"Burkina ChildFund"
"241",268,"Burkina","ChildFund","Village","Internally_displaced_HH",2022-11-30,4,2,"Burkina ChildFund"
